volume,sex
1193.2825226779855,male
1150.3828493547016,male
1242.7017765422472,male
1206.8084919464595,male
1235.9550493199,male
1292.3991503351413,male
1200.7388086188282,male
1259.2320046550024,male
1156.982484975557,male
1168.893173695214,male
1167.634889098017,male
1230.1054629393734,male
1037.205335297032,male
1354.465981728046,male
1224.8237958904456,male
1272.2586118989077,male
1148.7905925327525,male
1192.603331881475,male
1201.6253120044612,male
1277.3993673645432,male
1269.811049077858,male
1305.589869069359,male
1211.26288052148,male
1196.494721200718,male
1294.3536690539686,male
1274.2698522199187,male
1305.0585428065267,male
1274.7419302410378,male
1063.8287360470465,male
1268.1894721423646,male
1203.3453087106984,male
1203.9149486616432,male
1338.8335171403205,male
1283.0406167030947,male
1286.132144363266,male
1389.3250774904209,male
1215.1375231485647,male
1285.8090115382602,male
1347.4801030816946,male
1171.796153663755,male
1393.78877461863,male
1081.8485508108365,male
1049.2326940579062,male
1126.4561040465512,male
1306.8098488846433,male
1224.0711954876672,male
1203.1070372549555,male
1262.6559460748915,male
1064.5549817923927,male
1062.6903682966479,male
1103.1753698152734,male
1191.4513771848153,male
1261.6648567677598,male
1346.689261267187,male
1089.343101034076,male
1294.724449048712,male
1179.1807906709043,male
1316.6354829321542,male
1174.3000112896257,male
1400.5481609280778,male
1140.725497832573,male
1107.00760643609,male
1380.2430254433573,male
1319.8563799938895,male
1101.4162866358652,male
1330.083869252298,male
1140.8599915913805,male
1193.9210634425187,male
1235.2229993929973,male
1330.9143750885164,male
1250.7081362867405,male
1206.6200369104051,male
1132.9055655823445,male
1210.332781900675,male
1015.5878210043661,male
1170.59003940549,male
1327.7311498677368,male
1300.7245150374883,male
1210.0771794250877,male
1373.2012854944269,male
1379.4528147705544,male
1269.4001454179092,male
1139.5104896352868,male
1047.145333616881,male
1180.385312337194,male
1165.3893883433047,male
1110.8537471026991,male
1252.7998706363824,male
1239.0244605795554,male
1362.7646149617885,male
1332.8539617332606,male
1321.6287527156326,male
1048.2719179990813,male
1185.2988230078188,male
1223.4978656640728,male
1359.1283870272116,male
1134.9995333826253,male
1190.0654101098678,male
1286.0865645508582,male
1072.0581942021117,male
1232.6012413880658,male
1284.3476268359589,male
1296.5042751058477,male
1283.2597584506857,male
1068.162304163897,male
1232.1823321140366,male
1239.3290013762585,male
1043.3572583976024,male
1139.9632739911847,male
1094.7768121469144,male
1277.732135382377,male
1213.089480642211,male
1220.7988101453973,male
1359.814632836903,male
1094.7205502290672,male
1151.2098312668134,male
1380.909245360094,male
1180.3076618535674,male
1233.7844829759676,male
1361.6370198799889,male
1136.1711085557115,male
1388.5896560407296,male
1447.155501766746,male
1278.988235912719,male
1321.1674510255664,male
1224.2137950293263,male
1439.3971922288358,male
1084.10672465707,male
1149.6965466483894,male
1215.2284723483997,male
1274.6090714236216,male
1224.278732525343,male
1290.3794486115985,male
1391.6254485989014,male
886.3742933970656,male
1155.9347318658085,male
1167.2827435712152,male
1331.1946588502333,male
1231.939824890651,male
1386.3431350318328,male
1073.3486997697132,male
1230.9330436129123,male
1315.3009387161508,male
1285.5573970275552,male
1125.3023746233607,male
996.423141560824,male
1209.4274276941885,male
1228.8202528557856,male
1261.8973254438858,male
1198.9868910257492,male
1151.5568294537416,male
1349.59760435934,male
1292.0028071924326,male
1269.1418140491664,male
1126.1833365310958,male
1207.6077293359808,male
1174.0208389652985,male
1178.537587498494,male
1413.1194682165487,male
1045.930240386409,male
1200.4151887652315,male
1106.3525640705027,male
1151.513779231067,male
1232.3062631053506,male
1368.7976767911662,male
1190.8981516335805,male
1221.4268402453365,male
1243.4073843729916,male
1184.80500254295,male
1316.0378302179977,male
1166.8085754525835,male
1245.7666486774244,male
1200.562643306212,male
1210.1634463414548,male
1237.862781552342,male
1209.2486787550042,male
1077.9337213819308,male
1241.521219409104,male
1163.302774787252,male
1300.2540119968921,male
1203.7002016117856,male
1176.3319131046926,male
1120.2788781644535,male
1358.2206317395426,male
1290.4675337549922,male
1230.228641351771,male
1280.5049122143562,male
1322.9431733752747,male
1212.9187364813135,male
1264.4150202332871,male
1176.027773952859,male
1152.350267129179,male
1211.28857690706,male
1184.1411339672231,male
1385.5377715305874,male
1275.5525275859247,male
1255.3661105120839,male
1252.7796706061308,male
1321.05236964655,male
1353.5835568329787,male
1178.3127169858471,male
1103.944998820221,male
1448.2497926324193,male
1171.1233045762347,male
1242.7814300636367,male
1271.9687004970217,male
1335.5755231629341,male
1213.6682086001574,male
1283.2699888526363,male
1371.0820443599398,male
1208.583534832423,male
1298.2756042876897,male
1276.3836305822697,male
936.4290661068558,male
1303.5777684765294,male
1223.6066532864734,male
1171.8502065729147,male
1329.5885755591194,male
1310.7220575257384,male
1194.192754431624,male
1126.8383287197216,male
1230.9826770887942,male
1215.0550507430157,male
1204.2084969785062,male
1249.932698439596,male
1162.9143452774797,male
1229.372907721924,male
1141.4671305529248,male
1115.504353292159,male
1123.089836455839,male
1227.1301099514128,male
1263.4733279820125,male
1177.5877927742172,male
1282.5957940308458,male
1135.2785167085885,male
1294.9161440122684,male
1246.7291508431617,male
1037.15663831621,male
1359.1922468652788,male
1074.9576133505618,male
1049.5675123479054,male
1377.700149866673,male
1106.38054257467,male
1380.0254306127354,male
1117.8716234185022,male
1220.8051265998777,male
1065.8849934807236,male
1456.7564591412033,male
1338.0496715016438,male
1313.5598418736536,male
1343.5070685046865,male
1217.394357892791,male
1357.5942922561553,male
1406.1883897412358,male
1274.1750499149593,male
1085.11851216902,male
1113.147111376653,male
1193.4665181397536,male
1276.76328439834,male
1472.4462057385617,male
1251.9888368335285,male
1259.4608030854579,male
1359.243945740982,male
1283.7196772334305,male
1162.1399047744997,male
1134.9466296846215,male
1226.0853542050866,male
1020.3964019528541,male
1391.0762678754777,male
1305.0230403085038,male
1255.5421872971308,male
1341.536364838976,male
1256.1730699103182,male
1263.6881490364399,male
1237.878127771149,male
1224.4103499406724,male
1264.5570375556945,male
1079.9247514997644,male
1237.6232215194639,male
1347.2240040790423,male
1342.0750975945414,male
1383.6182322382788,male
1089.069411601051,male
1264.3240292630321,male
1253.7025047331563,male
1201.4085288823935,male
1313.0639816030346,male
1351.7281029136525,male
1153.238254417581,male
1111.1046184900997,male
1218.736203943696,male
1192.7343426575935,male
1256.9203932648506,male
1166.1052256190017,male
1134.0486572622674,male
1132.4779510678766,male
1237.9870842247606,male
1268.9007604942703,male
1421.0996811091854,male
1093.1158069470316,male
1334.2132360632525,male
1136.2025123023718,male
1256.9775505681944,male
1265.1818797008514,male
1131.486582783944,male
1189.8060726915546,male
1187.3367375332896,male
1345.7664249534473,male
1195.3297953930162,male
1196.7495954255896,male
1151.4530065641284,male
1170.7171880238955,male
1206.6150914576667,male
1299.041345009901,male
1235.611855784749,male
1202.8456071723804,male
1268.6014906358469,male
1266.8171896984263,male
1325.83632294894,male
1186.9910824453166,male
1187.4556321317154,male
1250.565618625896,male
1189.2568391910902,male
1478.0540758335942,male
1255.6869791903775,male
1422.9171276903442,male
1310.864099014844,male
1316.6534454497828,male
1153.99857863365,male
1146.7860192070536,male
1382.7673984612925,male
1186.7349268453875,male
1057.0219846371115,male
1263.9774029804244,male
1332.9040472294948,male
1370.009750408981,male
1375.086289479872,male
1289.9682059916686,male
1430.2972780226262,male
1007.4036178409382,male
1221.9539256032983,male
1166.2167229899228,male
1212.1620959540633,male
1270.3282806154145,male
1249.0251650492612,male
1189.1147401768271,male
1050.14653391536,male
1125.754285895969,male
1110.543501658389,male
1140.6786685807906,male
1176.8403649706956,male
1331.027437935436,male
1194.8567084988938,male
1402.5097184662839,male
1223.4132749630933,male
1265.22982697064,male
1334.030270914187,male
1252.656762794487,male
1117.625604488365,male
1103.3918101148113,male
1191.146477902432,male
1422.6199038278305,male
1212.063285050915,male
1130.919091856081,male
1229.9956322171638,male
1437.3703778081995,male
1369.7566740002926,male
1436.6239859390005,male
1227.2565525278146,male
1254.8708909288468,male
1099.2811591366224,male
1199.861791840947,male
1307.9363163980258,male
1289.081433712,male
1127.8538739893168,male
1063.7874415118736,male
1162.4574415975296,male
1197.6332886034081,male
1132.2405307275994,male
1216.979183693235,male
1519.2336884907493,male
1241.7225444185483,male
1369.35467230753,male
1361.1852291854834,male
1224.0920214172286,male
1204.6653914276167,male
1271.2593130977696,male
1338.789817666795,male
1015.2412911290668,male
1414.875160043218,male
1296.4033206193199,male
1261.9631784239048,male
1259.347868677555,male
1334.1776456504006,male
1200.4872919070144,male
1257.4416309054352,male
1230.9750571492953,male
1435.095701511631,male
1293.8863400940454,male
1258.8043320728164,male
1210.4729761938474,male
1266.5778605038875,male
965.9072105020284,male
1111.3637911832443,male
1132.8529153848299,male
1380.886612197729,male
1370.1257836909776,male
1404.5093796175686,male
1215.3626433477082,male
1309.041403637666,male
1196.4897969958377,male
1284.3985635330155,male
1207.5169188169182,male
1247.8547357143168,male
1019.2124357009158,male
1155.5181897175357,male
1287.5377632021145,male
1078.5568354324432,male
1322.5998008101094,male
1019.3088965828653,male
1170.4219115020721,male
1318.0513671126143,male
1197.121456046234,male
1193.4108811004307,male
1248.4916044245847,male
1325.343221289446,male
1331.5572812036428,male
1198.2469852760748,male
1331.7359916337496,male
1203.5858024651623,male
1152.7367430121658,male
1207.1009699131,male
1284.941425365,male
1307.1440656718553,male
1178.1680991873138,male
1348.8465832927186,male
1155.4466416131245,male
1126.8574956866623,male
1236.3031172881836,male
1187.028757323119,male
1268.8805064838282,male
1154.4528552875627,male
1207.31866503682,male
1220.726243187263,male
1149.0041975052293,male
1303.155061941667,male
1211.5524830949716,male
1483.692039448018,male
1174.7495631827278,male
1234.5379478400216,male
1311.0499336091757,male
1215.4610519977425,male
1217.942875457667,male
1255.4158934151426,male
1183.2835183552,male
1247.41653192362,male
1260.4545242090237,male
1210.9661003878975,male
1327.3476514108436,male
1191.9465010617678,male
1156.1883279557017,male
1323.4840162624853,male
1342.0457709058376,male
1205.82805756808,male
1396.5001879505332,male
1301.332125264828,male
1339.132622372991,male
1270.4230059820848,male
1407.7208420943837,male
1265.7981630143438,male
1309.5917900223094,male
1329.1037158086565,male
1355.6096760816856,male
1257.926604410729,male
1268.1479713882409,male
1024.6200612522816,male
1226.2968695389538,male
1247.4114375053134,male
1305.604801954597,male
1121.0455943774405,male
1284.6482920068233,male
1335.1814763388402,male
1216.7445865613615,male
1096.4824382911368,male
1376.051040917334,male
